,City,Lat,Long,Temp,Cloud,Wind,Humidity
194,santa cruz,36.97,-122.03,69.57,1,20.8,49
196,mabaruma,8.2,-59.78,81.61,64,7.09,82
201,portland,45.52,-122.67,69.12,20,10.29,42
204,lebu,8.96,38.73,46.15,48,2.73,89
205,ossora,59.24,163.07,45.61,44,2.73,100
206,acajutla,13.59,-89.83,86.52,75,9.17,83
207,parksville,33.79,-82.22,89.6,1,3.62,59
208,pocoes,-14.53,-40.37,67.84,64,2.73,91
209,carutapera,-1.2,-46.02,81.16,36,8.66,79
210,marsh harbour,26.54,-77.06,79.99,48,5.75,100
214,punta arenas,-53.16,-70.91,38.35,0,12.75,86
215,constitucion,23.99,-104.67,73.4,75,9.17,49
216,lousa,41.17,-7.18,63.97,0,2.51,83
217,jamestown,-33.21,138.6,25.72,12,2.84,80
218,upernavik,72.79,-56.15,35.17,48,4.41,91
220,tramore,52.16,-7.15,65.14,36,2.39,64
222,mahon,51.89,-8.4,62.6,75,4.7,77
224,muli,22.62,71.45,81.7,20,9.1,77
225,huarmey,-10.07,-78.15,69.91,0,4.41,58
226,poronaysk,49.22,143.1,48.49,92,5.41,100
233,aklavik,68.22,-135.01,59,75,4.7,51
235,teguise,29.06,-13.56,71.6,20,17.22,73
237,provideniya,64.42,-173.23,50,0,15.66,66
240,katherine,-14.47,132.26,64.4,0,8.05,88
242,port elizabeth,39.31,-74.98,77.02,1,5.82,44
243,ancud,-41.87,-73.83,50.29,92,12.68,95
246,moree,-29.46,149.84,48.22,68,9.44,87
251,mar del plata,-46.43,-67.52,41.65,0,7.99,69
252,avarua,-21.21,-159.78,82.4,40,12.75,88
253,alad,13.37,121.08,71.53,12,2.51,100
257,lodja,-3.52,23.6,71.89,8,2.39,88
259,saskylakh,71.97,114.09,51.91,8,10.45,67
260,clyde river,70.47,-68.59,33.8,90,12.75,100
263,killarney,-28.34,152.3,47.14,48,4.18,92
266,atuona,-9.8,-139.03,80.53,48,19.73,99
270,jiangkou,30.7,117.56,82.69,56,10.89,73
271,teahupoo,-17.83,-149.27,82.4,75,16.11,69
275,aripuana,-9.17,-60.63,94.84,0,2.51,23
281,norman wells,65.28,-126.83,57.2,90,10.29,87
283,imbituba,-28.24,-48.67,60.8,75,5.82,87
285,dunedin,-45.87,170.5,43.54,12,16.04,89
290,lagunas,-5.23,-75.68,87.73,8,2.95,57
296,rorvik,64.86,11.24,51.01,75,19.46,93
297,keelung,25.13,121.74,80.44,20,3.36,78
298,caravelas,-17.73,-39.27,77.56,0,12.35,97
300,bulgan,48.81,103.53,44.98,0,2.62,82
302,chimbote,-9.08,-78.59,65.77,12,8.55,90
307,vila velha,-3.71,-38.6,80.6,40,9.17,74
311,komsomolskiy,67.55,63.78,43.54,0,5.3,87
314,kavaratti,10.57,72.64,80.53,92,20.51,100
315,altay,47.83,88.13,47.41,44,2.17,74
316,kaeo,-35.1,173.78,45.79,0,5.41,84
317,lagoa,37.14,-8.45,73.4,0,13.87,56
319,meulaboh,4.14,96.13,79.99,36,0.04,100
320,erenhot,43.65,111.97,59.74,0,11.01,63
326,lazaro cardenas,28.39,-105.62,95,40,13.87,24
327,chuy,-33.69,-53.46,53.35,12,9.44,71
329,arman,59.7,150.17,48.2,90,2.24,93
333,katsuura,33.93,134.5,79.27,20,7.87,66
334,okha,53.59,142.95,56.5,32,8.77,70
337,lethem,3.38,-59.8,76.48,80,8.88,93
341,buraydah,26.33,43.97,95,0,8.05,21
343,quila,20.35,-104.08,79.72,8,3.4,54
347,winslow,51.94,-0.88,71.15,0,5.82,67
348,tuktoyaktuk,69.44,-133.03,44.6,90,10.29,81
350,pochutla,15.74,-96.47,86,75,11.41,70
352,cidreira,-30.17,-50.22,54.7,0,5.3,88
353,ponta do sol,-20.63,-46,71.89,88,1.39,54
360,portobelo,9.55,-79.65,79.7,40,8.05,83
365,qaanaaq,77.48,-69.36,32.29,8,2.62,98
366,byron bay,-28.65,153.62,57.2,75,5.82,93
370,kremenchuk,49.08,33.43,70.27,32,11.79,47
374,buala,-8.15,159.59,78.73,76,6.42,100
375,kendari,-3.99,122.52,70.54,92,1.16,100
385,shizuishan,39.02,106.36,58.93,0,2.17,79
387,westport,53.8,-9.52,72.34,0,5.53,52
391,saldanha,41.42,-6.55,68.11,0,5.19,69
393,la paz,24.15,-110.32,87.8,5,11.41,31
403,flinders,-34.58,150.85,48.2,90,5.82,100
404,madimba,4.42,9.93,77,40,6.08,94
407,saint anthony,43.97,-111.68,77.02,1,21.92,31
411,chernyshevskiy,63.01,112.47,59.47,64,4.63,94
413,dudinka,69.41,86.18,56.77,92,4.41,97
414,arrifes,37.77,-25.7,73.4,20,5.82,83
415,rawson,-43.3,-65.11,43,8,6.87,41
416,carson city,39.16,-119.77,87.75,1,12.75,6
417,pisco,-13.71,-76.2,64.4,0,11.41,82
420,arlit,18.74,7.39,81.16,0,6.08,17
421,plettenberg bay,-34.05,23.37,58.21,12,8.32,100
425,olinda,-2.03,-79.75,84.2,20,10.29,58
428,ondjiva,-17.07,15.73,55.51,0,6.2,46
429,talaja,21.35,72.04,78.73,76,7.87,93
432,sharjah,25.36,55.39,88.21,0,4.7,46
435,banda aceh,5.56,95.32,75.49,20,2.95,96
437,dharchula,29.85,80.53,50.29,92,1.72,100
441,bitung,1.44,125.19,71.6,20,2.24,100
443,nuuk,64.17,-51.74,44.6,40,13.87,56
450,camacha,33.08,-16.33,69.8,20,5.82,77
451,merauke,-8.49,140.4,76.57,68,17.27,93
453,casper,42.87,-106.31,91.4,1,26.4,9
455,manado,1.49,124.85,71.6,20,2.24,100
456,otradnoye,59.77,30.8,60.8,0,4.47,63
457,liuzhou,24.32,109.41,73.87,64,3.29,97
458,bose,45.46,8.01,57.24,0,4.7,64
459,margate,-43.03,147.26,39.2,0,9.17,93
460,roviai,38.82,23.23,64.4,75,10.29,93
461,saint-joseph,43.56,6.97,72.19,75,2.24,68
468,college,64.86,-147.8,68.58,40,8.05,43
475,pandan,11.72,122.09,82.15,88,3.51,100
480,iracoubo,5.48,-53.21,80.35,68,3.74,84
482,sioux lookout,50.1,-91.92,79.88,75,5.82,54
483,villarrica,-39.28,-72.23,48.67,92,8.77,99
495,georgetown,6.8,-58.16,87.8,20,11.41,62
498,ulaangom,49.98,92.07,48.22,12,1.95,62
501,noumea,-22.28,166.46,66.76,76,15.82,95
502,torrijos,39.98,-4.28,82.4,20,8.05,45
503,klaksvik,62.23,-6.59,48.2,88,5.82,100
506,belmonte,40.36,-7.35,64.87,0,2.62,83
512,jishou,28.26,109.7,76.84,12,8.1,79
516,navoi,46.17,11.83,73.4,0,2.24,53
517,lata,30.78,78.62,55.24,92,1.83,100
520,laguna,27.52,-110.01,96.8,5,3.36,28
521,mogadishu,2.04,45.34,78.82,80,21.18,99
528,west fargo,46.88,-96.9,79.83,1,4.7,44
529,eldorado,24.32,-107.36,95,5,9.17,41
530,rocha,-34.48,-54.34,52.9,8,9.22,58
533,kenora,49.76,-94.48,78.8,1,4.97,50
536,inongo,-1.93,18.29,73.24,20,2.39,94
537,flin flon,54.77,-101.88,66.2,90,13.87,88
542,poso,-1.4,120.75,73.42,92,1.28,100
544,polis,35.04,32.42,69.8,20,3.36,88
545,dongli,24.18,117.61,80.6,0,4.47,88
547,corrales,5.83,-72.84,59.47,92,2.17,60
548,kyshtovka,56.56,76.62,62.08,80,2.95,97
549,christchurch,-43.53,172.64,37.4,8,2.24,74
552,newcastleton,55.18,-2.81,62.6,48,10.29,63
553,rundu,-17.91,19.77,53.8,8,7.54,41
555,bredasdorp,-34.53,20.04,48.2,32,4.7,76
556,souillac,45.6,-0.6,75.85,0,4.7,44
558,kinsale,51.71,-8.52,62.6,75,4.7,77
559,joshimath,30.57,79.57,35.26,100,0.72,100
566,severo-kurilsk,50.68,156.12,44.17,8,5.19,97
570,san vicente,13.64,-88.78,86,40,11.41,62
576,adrar,27.87,-0.29,104,0,5.82,8
578,hasaki,35.73,140.83,75.2,75,11.41,83
585,chapais,49.78,-74.86,75.2,20,12.75,29
591,kuusamo,65.96,29.19,55.4,0,8.05,58
592,vostok,46.45,135.83,57.94,48,2.73,92
599,mount gambier,-37.83,140.78,42.01,64,2.73,82
604,ano kastritsion,38.27,21.83,67.17,75,4.7,88
605,natal,-5.81,-35.21,80.6,20,14.99,69
611,boyolangu,-8.09,111.9,66.22,8,5.19,91
612,lieksa,63.32,30.02,61.72,68,4.41,57
619,zemaiciu naumiestis,55.36,21.7,59.74,0,5.08,80
622,pinheiro,-2.53,-45.09,83.86,44,4.63,54
625,ayan,40.67,33.6,60.1,44,2.51,75
628,semey,50.41,80.25,60.28,64,3.74,94
630,chivilcoy,-34.9,-60.02,54.61,12,4.18,48
631,spittal,55.76,-1.99,53.6,36,9.17,100
633,soyo,-6.13,12.37,72.34,0,6.08,89
638,pacific grove,36.62,-121.92,66.54,1,20.8,49
641,madang,-5.21,145.81,75.58,20,4.18,94
643,vao,59.1,26.19,57.49,44,1.95,79
646,chokurdakh,70.62,147.9,34.81,56,10.22,79
657,tigil,57.8,158.67,55.42,0,9.55,72
659,dickinson,46.88,-102.79,82.4,1,8.05,51
660,bull savanna,17.89,-77.59,89.08,24,10.33,47
668,severo-yeniseyskiy,60.37,93.04,68.11,0,2.17,84
671,xaxim,-26.96,-52.53,59.38,24,2.28,92
672,maniitsoq,65.42,-52.9,37.87,88,13.02,87
677,kieta,-6.22,155.63,77.74,80,1.72,100
678,beringovskiy,63.05,179.32,44.71,12,5.64,100
681,dwarka,28.58,77.04,87.8,75,10.67,62
682,lingao,19.91,109.69,75.85,92,7.76,100
686,ust-nera,64.57,143.24,50.65,92,2.39,95
688,nicoya,10.15,-85.45,77,75,6.93,88
689,vardo,39.62,-77.74,79.83,40,4.7,37
695,hami,42.84,93.51,82.24,76,13.69,28
696,codrington,-28.95,153.24,49.12,92,3.62,98
697,kudahuvadhoo,2.67,72.89,82.87,88,10.89,100
698,trairi,-3.28,-39.27,80.08,0,17.49,100
700,burnie,-41.05,145.91,48.49,36,6.53,100
701,wanning,48.64,13.53,60.8,40,16.11,77
711,manitowoc,44.09,-87.66,66.96,90,5.82,88
712,ahipara,-35.17,173.16,54.25,36,10.67,93
713,nang rong,14.64,102.79,72.25,92,6.87,99
715,hadrut,39.52,47.03,61.45,0,2.39,69
716,alice springs,-23.7,133.88,32,0,5.82,85
727,cairns,-16.92,145.77,68,75,12.75,94
732,grand gaube,-20.01,57.66,71.6,75,11.41,60
740,thinadhoo,0.53,72.93,83.5,44,12.01,100
744,sergeyevka,53.88,67.42,60.91,92,9.78,97
747,novikovo,45.05,34.56,70.45,48,1.95,86
748,okhotsk,59.36,143.24,46.6,64,5.75,98
750,calvinia,-31.47,19.78,38.05,8,3.4,85
757,conde,-11.81,-37.61,77.02,88,8.43,81
758,gavrilov posad,56.56,40.12,61.72,0,8.43,60
762,tuatapere,-46.13,167.69,46.51,92,12.68,100
764,ushtobe,45.25,77.98,57.04,0,5.53,69
770,rio grande,-32.03,-52.1,62.6,0,5.41,45
772,jacmel,18.24,-72.54,95,90,11.41,41
775,talnakh,69.49,88.39,51.01,92,3.85,89
777,mwense,-10.39,28.7,67.57,0,5.64,44
785,proletarsk,46.7,41.72,86.83,92,9.22,28
787,morondava,-20.3,44.28,69.55,0,7.09,88
793,ketchikan,55.34,-131.65,56.61,90,6.93,50
798,chirongui,-12.93,45.15,78.8,0,10.29,78
801,north bend,43.41,-124.22,64.4,1,21.92,63
803,bukama,-9.2,25.85,68.74,0,7.2,50
804,sauga,58.43,24.5,62.26,24,5.3,67
809,tiarei,-17.53,-149.33,82.4,75,16.11,69
813,nueva loja,0.08,-76.88,82.4,75,5.82,69
819,kalianget,-7.35,109.91,62.17,24,2.39,93
820,sao felix do xingu,-6.64,-51.99,88.81,0,3.18,35
829,wakema,16.6,95.18,74.41,92,12.57,100
830,milwaukie,45.45,-122.64,69.58,20,10.29,42
834,neuquen,-38.95,-68.06,46.4,75,1.12,93
837,sandomierz,50.68,21.75,53.6,0,2.24,87
838,tshikapa,-6.42,20.79,70.72,8,1.61,85
841,nanortalik,60.14,-45.24,36.79,0,15.82,98
842,grenville,45.62,-74.6,73.4,75,8.05,35
845,zhezkazgan,47.8,67.71,57.31,0,9.1,70
848,batesville,35.77,-91.64,93.85,75,9.17,49
852,khandyga,62.65,135.58,61.45,48,3.4,96
855,serenje,-13.23,30.22,60.1,32,8.21,60
856,viedma,-40.81,-62.99,46.24,0,5.97,41
860,say,13.1,2.36,98.6,88,1.12,27
863,puri,-7.54,112.45,66.22,8,5.19,91
867,bay saint louis,30.31,-89.33,92.3,40,6.93,46
868,encamp,42.54,1.58,59.2,24,1.61,57
869,danane,7.26,-8.15,71.71,76,5.53,99
873,port hedland,-20.31,118.58,50,0,9.17,32
875,mahebourg,-20.41,57.7,71.6,75,11.41,60
876,beltangadi,13.98,75.3,68.74,92,4.52,100
879,canala,-21.52,165.96,65.68,48,14.36,91
881,nelson bay,-32.72,152.14,44.6,40,14.03,100
882,nampula,-15.12,39.26,68,0,6.93,82
883,sabha,27.03,14.43,82.15,0,4.97,19
886,esil,51.96,66.41,63.61,8,8.99,74
889,moerai,-22.43,-151.33,75.94,68,11.79,100
891,abaete,-19.16,-45.45,73.6,24,3.4,55
892,comodoro rivadavia,-45.87,-67.48,48.2,0,12.75,42
894,leua,-11.65,20.45,59.65,0,2.73,57
895,roebourne,-20.77,117.15,46.96,0,12.12,34
900,yeppoon,-23.13,150.74,60.8,40,6.93,93
909,turiacu,-5.01,-63,94.39,12,7.2,33
911,hervey bay,-25.3,152.85,68.29,92,13.69,85
913,kavieng,-2.57,150.8,82.69,64,9.33,100
915,bata,1.87,9.77,78.8,40,5.82,94
918,gayny,60.3,54.33,73.6,12,6.08,61
922,tura,25.52,90.21,77.65,92,2.28,97
929,broome,52.47,1.45,62.33,20,8.05,87
935,opelousas,30.53,-92.08,94.1,40,8.05,56
938,paragominas,-3,-47.35,77.47,88,6.2,95
940,phan thiet,10.93,108.1,75.85,56,3.96,100
941,the valley,18.22,-63.06,84.27,20,12.75,69
950,chifeng,42.27,118.96,61.18,8,5.19,58
952,buloh kasap,2.55,102.76,77,75,1.12,94
957,kaniama,-7.57,24.18,69.37,24,4.74,45
966,mitu,36.2,46.09,52.45,0,1.95,68
968,la palma,5.36,-74.39,82.15,56,1.5,50
975,bar bigha,25.22,85.74,77.65,32,4.74,96
981,ixtapa,20.71,-105.21,87.8,40,8.05,70
984,necochea,-38.55,-58.74,52.54,64,9.1,61
985,leningradskiy,69.38,178.42,31.84,92,11.79,99
987,srednekolymsk,67.46,153.71,42.73,0,3.4,56
990,cap-aux-meules,47.38,-61.86,53.6,20,10.29,62
993,port-cartier,50.03,-66.88,59,75,9.17,51
994,grindavik,63.84,-22.43,47.46,90,11.41,93
1000,kells,53.73,-6.88,65.7,0,8.05,67
1004,rehnan,32.68,51.6,73.4,0,9.17,18
1008,warmbad,50.67,13.08,60.76,64,2.24,77
1009,surt,31.21,16.59,72.97,0,7.99,93
1010,san buenaventura,27.06,-101.55,91.4,75,12.75,29
1016,syracuse,43.05,-76.15,78.8,75,9.17,39
1019,kahului,20.89,-156.47,79.92,40,19.46,65
1022,kharan,28.58,65.42,64.78,0,1.5,20
1024,putina,-14.91,-69.87,64.4,0,8.05,27
1032,tevriz,57.51,72.4,63.7,76,6.76,97
1037,svetlaya,46.54,138.33,51.19,88,4.97,97
1038,chihuahua,28.66,-106.08,95,40,13.87,24
1039,alassio,44,8.17,73.4,0,3.36,64
1040,benguela,-12.58,13.4,69.64,0,5.75,100
1041,jhalida,23.36,85.98,75.2,75,1.95,94
1045,kiama,-34.67,150.86,48.2,90,5.82,100
1047,barao de melgaco,-16.19,-55.97,91.4,0,2.24,24
1048,santa comba,43.03,-8.81,60.84,90,4.7,100
1050,korhogo,9.46,-5.63,81.79,80,4.63,68
1051,hailar,49.2,119.7,58.03,56,12.46,95
1053,fairbanks,64.84,-147.72,68.58,40,8.05,43
1057,gemena,3.25,19.78,72.07,56,2.06,95
1062,taitung,22.76,121.15,74.05,56,4.41,100
1068,shaunavon,49.65,-108.41,70.9,0,13.8,43
1071,preobrazheniye,42.9,133.91,57.31,88,2.17,99
1072,san patricio,-26.98,-56.83,61.09,0,2.17,82
1078,kutum,14.2,24.66,78.37,24,8.32,38
1081,thunder bay,48.41,-89.26,69.8,75,12.75,49
1082,lixourion,38.2,20.43,66.22,90,10.89,100
1084,genhe,50.78,121.52,52.09,0,6.64,94
1085,baculin,7.45,126.58,76.84,24,3.51,99
1096,gari,59.43,62.35,63.07,8,2.39,72
1097,kuvshinovo,57.03,34.18,57.67,8,1.61,82
1098,manadhoo,5.77,73.38,80.17,68,16.71,100
1109,quatre cocos,-20.21,57.76,71.6,75,11.41,60
1111,sarkand,45.41,79.91,56.14,0,6.2,80
1113,siyabuswa,-25.11,29.06,52.36,56,4.29,80
1120,san carlos de bariloche,-41.13,-71.31,42.8,40,19.46,75
1123,iqaluit,63.75,-68.52,39.2,90,17.22,89
1126,bagdarin,54.44,113.59,47.86,0,4.07,83
1128,virginia beach,36.85,-75.98,78.31,1,10.29,53
1130,boo,7.44,8.9,78.37,44,12.57,84
1131,san onofre,9.74,-75.52,86.11,20,7.31,85
1135,xichang,27.88,102.25,61.9,80,1.05,89
1138,port lincoln,-34.72,135.86,43.54,32,3.62,100
1145,roma,41.89,12.48,71.04,0,9.17,43
1146,yulara,-25.24,130.99,39.2,0,9.17,55
1148,zhigalovo,54.81,105.15,52.45,0,1.95,85
1156,gijon,43.54,-5.66,62.6,40,6.93,93
1160,vila franca do campo,37.72,-25.43,73.4,20,5.82,83
1170,keti bandar,24.14,67.45,83.86,0,16.26,98
1173,makakilo city,21.35,-158.09,81.5,20,10.29,58
1178,bautar,45.52,22.57,52.54,88,2.17,94
1179,agnibilekrou,7.13,-3.2,70.45,92,5.97,100
1182,moratuwa,6.77,79.88,80.6,75,11.41,88
1184,padang,-0.92,100.36,80.89,56,10.11,100
1186,solnechnyy,50.72,136.64,58.93,92,2.95,99
1187,karpathos,35.51,27.21,75.2,0,5.82,83
1188,guanare,9.04,-69.74,86,75,4.52,66
1191,clarence town,-32.59,151.78,44.6,40,2.39,100
1194,batouri,4.44,14.36,70.45,20,4.74,98
1199,brodokalmak,55.57,62.07,55.4,0,6.71,87
1201,fortuna,38.18,-1.13,75.2,75,4.7,83
1204,alta floresta,-9.87,-56.08,90.79,0,2.39,27
1206,arinos,-15.92,-46.11,73.87,0,2.73,52
1211,upata,8.02,-62.41,78.01,92,6.53,83
1214,nome,30.04,-94.42,92.3,40,9.17,52
1218,sao joao da barra,-21.64,-41.05,78.8,0,11.41,65
1222,malakwal,32.55,73.21,81.52,8,7.65,47
1226,ust-ilimsk,57.96,102.73,65.86,0,4.74,84
1227,paamiut,61.99,-49.67,39.76,0,10.22,98
1229,grand forks,47.91,-97.06,80.91,1,5.82,48
1230,valega,40.84,-8.58,62.67,20,5.82,93
1231,alexandria,31.31,-92.44,94.53,40,4.7,44
1242,nhulunbuy,-12.18,136.78,75.2,75,13.87,78
1245,haines junction,60.75,-137.51,53.98,0,2.73,39
1246,marawi,8,124.29,67.75,44,0.94,98
1247,mangan,27.5,88.54,45.61,12,1.61,93
1249,jaisinghnagar,23.63,78.57,73.42,92,8.77,94
1254,guerrero negro,27.97,-114.04,77.11,0,11.23,52
1262,hirara,24.8,125.28,83.95,0,11.23,96
1264,taksimo,56.36,114.84,53.35,48,2.28,88
1267,union,47.36,-123.1,66.2,1,5.82,52
1268,buarcos,40.16,-8.88,66.2,20,8.05,72
1271,lisakovsk,52.55,62.49,62.62,0,5.53,56
1278,gondanglegi,-7.75,112.01,66.22,8,5.19,91
1280,mumford,5.26,-0.76,76.84,64,10.67,85
1281,almaznyy,48.03,40.04,86.11,92,9.22,26
1292,evensk,61.92,159.24,45.43,92,8.21,100
1294,kuji,40.18,141.75,62.17,100,3.62,94
1297,ambovombe,-25.18,46.09,69.28,36,15.82,87
1298,kangundo,-1.3,37.35,60.1,92,4.18,97
1305,comandau,45.77,26.27,56.5,80,4.07,69
1308,touros,-5.2,-35.46,79.81,36,14.14,77
1319,rapid valley,44.06,-103.15,81.03,1,14.99,58
1320,lucapa,-8.42,20.74,62.17,0,2.28,75
1322,bataipora,-22.3,-53.27,80.62,24,2.51,50
1328,high level,58.52,-117.13,62.6,75,14.99,55
1336,mulege,26.88,-111.98,93.94,20,5.97,34
1338,iralaya,15,-83.23,79.45,44,6.76,100
1340,ogulin,45.27,15.22,71.6,0,5.82,37
1341,inhambane,-23.87,35.38,66.4,92,8.77,100
1346,kizukuri,40.81,140.39,61.99,100,6.42,100
1350,jiuquan,39.73,98.49,56.77,8,2.17,80
1351,severnyy-kospashskiy,59.09,57.8,66.67,0,2.73,86
